Gene,Protein class
AFF3,"Cancer-related genes, Predicted intracellular proteins"
AFF4,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
AFG1L,Predicted intracellular proteins
AFG3L2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
AFM,"Plasma proteins, Predicted secreted proteins"
AFMID,"Enzymes, Predicted intracellular proteins"
AFP,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins"
AFTPH,Predicted intracellular proteins
AGA,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AGAP1,"Plasma proteins, Predicted intracellular proteins"
AGAP2,Predicted intracellular proteins
AGAP3,Predicted intracellular proteins
AGAP4,Predicted intracellular proteins
AGAP5,Predicted intracellular proteins
AGAP6,Predicted intracellular proteins
AGAP9,Predicted intracellular proteins
AGBL1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AGBL2,"Enzymes, Predicted intracellular proteins"
AGBL3,"Enzymes, Predicted intracellular proteins"
AGBL4,"Enzymes, Predicted intracellular proteins"
AGBL5,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AGER,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
AGFG1,Predicted intracellular proteins
AGFG2,Predicted intracellular proteins
AGGF1,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
AGK,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AGL,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
AGMAT,"Enzymes, Predicted intracellular proteins"
AGMO,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
AGO1,Predicted intracellular proteins
AGO2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
AGO3,Predicted intracellular proteins
AGO4,Predicted intracellular proteins
AGPAT1,"Enzymes, Predicted membrane proteins"
AGPAT2,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
AGPAT3,"Enzymes, Predicted membrane proteins"
AGPAT4,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
AGPAT5,"Enzymes, Predicted membrane proteins"
AGPS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AGR2,Predicted intracellular proteins
AGR3,Predicted intracellular proteins
AGRN,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
AGRP,"Disease related genes, Plasma proteins, Predicted secreted proteins"
AGT,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins"
AGTPBP1,"Enzymes, Predicted intracellular proteins"
AGTR1,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
AGTR2,"G-protein coupled receptors, Predicted membrane proteins"
AGTRAP,"Predicted intracellular proteins, Predicted membrane proteins"
AGXT,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AGXT2,"Enzymes, Predicted intracellular proteins"
AHCTF1,"Predicted intracellular proteins, Transporters"
AHCY,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AHCYL1,Predicted intracellular proteins
AHCYL2,"Enzymes, Predicted intracellular proteins"
AHDC1,"Disease related genes, Predicted intracellular proteins"
AHI1,"Disease related genes, Predicted intracellular proteins"
AHNAK,"Plasma proteins, Predicted intracellular proteins"
AHNAK2,"Cancer-related genes, Predicted intracellular proteins"
AHR,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
AHRR,"Predicted intracellular proteins, Transcription factors"
AHSA1,"Plasma proteins, Predicted intracellular proteins"
AHSG,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
AHSP,"Plasma proteins, Predicted intracellular proteins"
AICDA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AIDA,Predicted intracellular proteins
AIF1,Predicted intracellular proteins
AIF1L,Predicted intracellular proteins
AIFM1,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
AIFM2,Predicted intracellular proteins
AIFM3,Predicted intracellular proteins
AIG1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
AIM2,Predicted intracellular proteins
AIMP1,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
AIMP2,"Plasma proteins, Predicted intracellular proteins"
AIP,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
AIPL1,"Disease related genes, Predicted intracellular proteins"
AIRE,"Disease related genes, Predicted intracellular proteins, Transcription factors"
AJAP1,Predicted membrane proteins
AJM1,Predicted intracellular proteins
AJUBA,"Cancer-related genes, Predicted intracellular proteins"
AK1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AK2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AK3,"Enzymes, Plasma proteins, Predicted intracellular proteins"
AK4,"Enzymes, Predicted intracellular proteins"
AK5,"Enzymes, Predicted intracellular proteins"
AK6,"Enzymes, Predicted intracellular proteins"
AK7,"Enzymes, Predicted intracellular proteins"
AK8,"Enzymes, Predicted intracellular proteins"
AK9,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
AKAIN1,Predicted intracellular proteins
AKAP1,"Predicted intracellular proteins, Predicted membrane proteins"
AKAP10,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
AKAP11,"Plasma proteins, Predicted intracellular proteins"
AKAP12,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
AKAP13,"Plasma proteins, Predicted intracellular proteins"
AKAP14,Predicted intracellular proteins
AKAP17A,Predicted intracellular proteins
AKAP2,Predicted intracellular proteins
AKAP3,Predicted intracellular proteins
AKAP4,Predicted intracellular proteins
AKAP5,"Plasma proteins, Predicted intracellular proteins, Transporters"
AKAP6,"Predicted intracellular proteins, Predicted membrane proteins"
AKAP7,"Plasma proteins, Predicted intracellular proteins"
AKAP8,"Plasma proteins, Predicted intracellular proteins"
AKAP8L,Predicted intracellular proteins
AKAP9,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
AKIP1,Predicted intracellular proteins
AKIRIN1,Predicted intracellular proteins
AKIRIN2,Predicted intracellular proteins
AKNA,Predicted intracellular proteins
AKNAD1,Predicted intracellular proteins
AKR1A1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
AKR1B1,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
AKR1B10,"Predicted intracellular proteins, Predicted secreted proteins"
AKR1B15,"Enzymes, Predicted intracellular proteins"
AKR1C1,"Enzymes, Predicted intracellular proteins"
AKR1C2,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"
AKR1C3,"Enzymes, Plasma proteins, Predicted intracellular proteins"
AKR1C4,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AKR1D1,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"
AKR1E2,"Enzymes, Predicted intracellular proteins"
AKR7A2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
AKR7A3,Predicted intracellular proteins
AKT1,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
AKT1S1,Predicted intracellular proteins
AKT2,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
AKT3,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
AKTIP,"Plasma proteins, Predicted intracellular proteins"
AL022312.1,Predicted intracellular proteins
AL035078.4,Predicted intracellular proteins
ALAD,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ALAS1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ALAS2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ALB,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ALCAM,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters"
ALDH16A1,"Plasma proteins, Predicted membrane proteins"
ALDH18A1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ALDH1A1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ALDH1A2,"Enzymes, Predicted intracellular proteins"
ALDH1A3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ALDH1B1,"Enzymes, Predicted intracellular proteins"
ALDH1L1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ALDH1L2,"Enzymes, Predicted intracellular proteins"
ALDH2,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ALDH3A1,"Enzymes, Predicted intracellular proteins"
ALDH3A2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALDH3B1,"Enzymes, Predicted intracellular proteins"
ALDH3B2,"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALDH4A1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ALDH5A1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ALDH6A1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALDH7A1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ALDH8A1,Predicted intracellular proteins
ALDH9A1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ALDOA,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ALDOA,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALDOB,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ALDOC,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
ALG1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALG10,"Enzymes, Predicted membrane proteins"
ALG10B,"Enzymes, Predicted membrane proteins"
ALG11,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALG12,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ALG13,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ALG14,"Disease related genes, Predicted membrane proteins"
ALG1L,Predicted intracellular proteins
ALG1L2,Predicted intracellular proteins
ALG2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALG3,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ALG5,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ALG6,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ALG8,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ALG9,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ALK,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ALKAL1,Predicted secreted proteins
ALKAL2,"Predicted intracellular proteins, Predicted secreted proteins"
ALKBH1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ALKBH2,"Enzymes, Predicted intracellular proteins"
ALKBH3,"Enzymes, Predicted intracellular proteins"
ALKBH4,Predicted intracellular proteins
ALKBH5,Predicted intracellular proteins
ALKBH6,"Cancer-related genes, Predicted intracellular proteins"
